City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,namibe,-15.1961,12.1522,17.18,86,0,0.43,AO,2023-08-08 03:34:50
116,nemuro,43.3236,145.575,15.12,99,100,6.17,JP,2023-08-08 03:34:52
117,rabaul,-4.1967,152.1721,27.96,74,68,5.48,PG,2023-08-08 03:34:53
118,ghat,24.9647,10.1728,31.7,12,1,0.84,LY,2023-08-08 03:29:17
119,oranjemund,-28.55,16.4333,11.82,96,34,3.08,NA,2023-08-08 03:34:54
120,puerto baquerizo moreno,-0.9,-89.6,23.76,73,71,4.48,EC,2023-08-08 03:34:54
121,college,64.8569,-147.8028,22.89,64,75,2.06,US,2023-08-08 03:34:55
122,san luis,-33.295,-66.3356,13.12,24,100,5.29,AR,2023-08-08 03:34:55
123,bikenibeu village,1.3673,173.1241,28.98,84,75,1.54,KI,2023-08-08 03:34:56
124,luderitz,-26.6481,15.1594,15.61,61,0,6.61,NA,2023-08-08 03:35:02
125,lerwick,60.1545,-1.1494,8.0,71,80,7.28,GB,2023-08-08 03:35:02
126,arkhangel'sk,64.5401,40.5433,15.44,72,0,4.02,RU,2023-08-08 03:35:03
127,nenjiang,49.1833,125.2167,15.32,95,100,4.36,CN,2023-08-08 03:35:04
128,emerald,-23.5333,148.1667,24.08,31,0,4.97,AU,2023-08-08 03:35:05
129,namie,37.4833,141.0,33.08,75,97,0.45,JP,2023-08-08 03:35:05
130,ishigaki,24.3448,124.1572,31.07,84,75,6.17,JP,2023-08-08 03:35:06
131,pimenta bueno,-11.6725,-61.1936,28.19,39,94,1.7,BR,2023-08-08 03:30:17
132,bubanza,-3.1167,29.4,19.92,64,90,1.14,BI,2023-08-08 03:35:07
133,puerto ayora,-0.7393,-90.3518,24.19,88,100,2.68,EC,2023-08-08 03:35:08
134,conceicao das alagoas,-19.9147,-48.3883,23.88,32,0,2.55,BR,2023-08-08 03:35:09
135,porto novo,6.4965,2.6036,25.9,86,71,3.9,BJ,2023-08-08 03:31:30
136,thompson,55.7435,-97.8558,13.09,82,75,2.57,CA,2023-08-08 03:35:10
137,nouadhibou,20.931,-17.0347,20.99,88,0,4.12,MR,2023-08-08 03:35:11
138,arraial do cabo,-22.9661,-42.0278,21.33,77,1,4.35,BR,2023-08-08 03:35:11
139,usinsk,65.9939,57.5281,13.84,67,51,5.19,RU,2023-08-08 03:35:12
140,magadan,59.5667,150.8,17.52,52,67,0.81,RU,2023-08-08 03:35:12
141,tura,25.5198,90.2201,24.92,95,100,0.93,IN,2023-08-08 03:35:13
142,bamboo flat,11.7,92.7167,30.05,74,75,6.17,IN,2023-08-08 03:35:14
143,kalmunai,7.4167,81.8167,31.22,55,99,1.06,LK,2023-08-08 03:35:15
144,port lincoln,-34.7333,135.8667,16.08,45,0,3.79,AU,2023-08-08 03:35:15
145,shalkar,47.8288,59.6258,26.5,48,29,4.46,KZ,2023-08-08 03:35:16
146,kapuskasing,49.4169,-82.4331,18.0,77,100,2.57,CA,2023-08-08 03:35:06
147,kankan,10.3854,-9.3057,21.53,97,100,1.68,GN,2023-08-08 03:35:17
148,road town,18.4167,-64.6167,29.05,81,69,7.68,VG,2023-08-08 03:35:17
149,nelson bay,-32.7167,152.15,18.38,71,36,2.24,AU,2023-08-08 03:35:18
150,karratha,-20.7377,116.8463,27.81,27,0,6.8,AU,2023-08-08 03:35:19
151,labrador city,52.9463,-66.9114,13.95,88,100,0.0,CA,2023-08-08 03:35:19
152,port alfred,-33.5906,26.891,15.75,85,16,2.43,ZA,2023-08-08 03:35:20
153,sebastopol,44.6,33.5333,21.11,59,0,0.45,UA,2023-08-08 03:33:24
154,tiksi,71.6872,128.8694,10.66,55,41,2.03,RU,2023-08-08 03:35:21
155,kijang,35.2442,129.2139,31.85,73,59,8.33,KR,2023-08-08 03:35:21
156,iskushuban,10.2837,50.23,28.24,50,29,12.71,SO,2023-08-08 03:35:22
157,labuan,5.2767,115.2417,31.2,66,20,1.54,MY,2023-08-08 03:35:22
